kategori,pertanyaan
Greeting,['baik']
Greeting,"['baikbaik', 'saja']"
Greeting,"['sangat', 'baik']"
Greeting,"['aku', 'baik']"
Greeting,"['aku', 'baikbaik', 'saja']"
Greeting,"['aku', 'rasa', 'baik']"
Greeting,"['kabar', 'saya', 'baik']"
Greeting,"['kabar', 'saya', 'baikbaik', 'saja']"
Greeting,"['saya', 'rasa', 'sangat', 'baik']"
Greeting,"['saya', 'sehatsehat', 'saja']"
Greeting,"['saya', 'rasa', 'baikbaik', 'saja', 'terima', 'kasih']"
Greeting,"['alhamdulillah', 'kabar', 'saya', 'baik']"
Greeting,"['kabar', 'saya', 'cukup', 'baik']"
Greeting,"['saya', 'dalam', 'ada', 'baik']"
Greeting,"['saya', 'rasa', 'baik', 'dan', 'sehat']"
Greeting,['sehat']
Greeting,"['sangat', 'sehat']"
Greeting,"['aku', 'rasa', 'sehat']"
Greeting,"['saya', 'rasa', 'sangat', 'sehat']"
Greeting,"['alhamdulillah', 'saya', 'dalam', 'ada', 'sehat']"
Greeting,"['kabar', 'saya', 'baikbaik', 'saja', 'dan', 'sehat', 'saya', 'juga', 'baikbaik', 'saja']"
Greeting,"['saya', 'dalam', 'kondisi', 'sehat']"
Greeting,"['saya', 'rasa', 'sehat', 'dan', 'bugar']"
Greeting,"['kondisi', 'sehat', 'saya', 'cukup', 'baik']"
Greeting,"['saya', 'rasa', 'sehat', 'dan', 'kuat']"
Greeting,"['lagi', 'okeoke', 'aja', 'nih', 'kak']"
Greeting,"['tidak', 'enak', 'badan']"
Greeting,"['kurang', 'enak', 'badan']"
Greeting,['sakit']
Greeting,"['tidak', 'sehat']"
Greeting,"['aku', 'sedang', 'tidak', 'sehat']"
Greeting,"['aku', 'kurang', 'sehat']"
Greeting,"['tidak', 'baik']"
Greeting,"['tidak', 'enak', 'badan']"
Greeting,"['kurang', 'baik']"
Greeting,"['baik', 'dan', 'terima', 'kasih']"
Greeting,"['saya', 'dalam', 'ada', 'baikbaik', 'saja', 'terima', 'kasih']"
Greeting,"['saya', 'rasa', 'sangat', 'baik', 'dan', 'sehat']"
Greeting,"['saya', 'dalam', 'kondisi', 'yang', 'baik']"
Greeting,"['kabar', 'saya', 'baik', 'dan', 'sehat', 'saya', 'prima']"
Greeting,"['saya', 'dalam', 'ada', 'sehat', 'dan', 'bugar']"
Greeting,"['alhamdulillah', 'saya', 'baikbaik', 'saja', 'dan', 'sehat']"
Greeting,"['saya', 'rasa', 'sehat', 'dan', 'bugar', 'terima', 'kasih']"
Greeting,"['saya', 'dalam', 'ada', 'yang', 'baik', 'dan', 'sehat']"
Greeting,"['kabar', 'saya', 'baikbaik', 'saja', 'dan', 'sehat', 'saya', 'juga', 'baikbaik', 'saja']"
Greeting,"['saya', 'sedang', 'dalam', 'ada', 'yang', 'baik', 'dan', 'sehat']"
Greeting,"['sehat', 'saya', 'cukup', 'baik', 'dan', 'saya', 'rasa', 'baik']"
Greeting,"['saya', 'rasa', 'sehat', 'dan', 'bugar', 'saat', 'ini']"
Greeting,"['kabar', 'saya', 'baik', 'dan', 'sehat', 'saya', 'jaga']"
Greeting,"['saya', 'dalam', 'ada', 'baikbaik', 'saja', 'dan', 'sehat', 'walafiat']"
Greeting,"['saya', 'rasa', 'sangat', 'sehat', 'dan', 'bugar']"
Greeting,"['alhamdulillah', 'saya', 'sehat', 'dan', 'dalam', 'ada', 'yang', 'baik']"
